1662131955387.8252	1.7286414323717615e-12 2.4742445535888446e-12
2830341759922.9224	1.2077226551344647e-12 1.514704336774396e-12
4322418318620.5205	1.0384687751343506e-12 1.2541822663794933e-12
6762738459388.795	6.007427310761215e-13 7.534408799720565e-13
12382821561415.584	5.263946605735426e-13 6.238525681114844e-13
24380369324228.6	4.612479258533454e-13 5.46644418403069e-13
32201856525153.676	4.789915685941833e-13 6.478514122711523e-13
49776317859790.664	3.5414435847257093e-13 4.2770816491538506e-13
79785954472282.1	2.0103824693326692e-13 2.4742445535888446e-13
126350272277578.55	2.2514329429516687e-13 2.877507030797051e-13
200090246588004.62	5.46644418403069e-14 9.272847441516205e-14
309291351168793.6	5.165528405542962e-14 9.099476200466959e-14
507901311778318.5	3.1622776601683796e-14 5.895108507400258e-14
