2082.31	8.286393e-012 8.677049e-012 7.878710e-012 2157.54 2009.7
2231.89	8.105487e-012 8.562385e-012 7.656132e-012 2308.79 2157.54
2380.66	7.472673e-012 8.033645e-012 6.905260e-012 2462.69 2308.79
2535.25	7.104132e-012 7.654209e-012 6.550361e-012 2609.95 2458.72
2682.52	7.134562e-012 7.686995e-012 6.686995e-012 2757.1 2609.95
2833.76	8.520841e-012 9.140428e-012 7.908483e-012 2907.86 2757.1
2979.08	7.055263e-012 7.651719e-012 6.462613e-012 3056.98 2907.86
3136.91	6.962300e-012 7.600773e-012 6.335629e-012 3208.57 3056.98
3281.86	7.451522e-012 8.117008e-012 6.765938e-012 3362.24 3203.4
3433.5	6.915387e-012 7.616114e-012 6.210681e-012 3511.93 3362.24
3586.36	8.044702e-012 8.801722e-012 7.304565e-012 3674.2 3506.27
3733.96	7.921485e-012 8.685942e-012 7.114230e-012 3806.95 3662.37
3887.63	7.868895e-012 8.685270e-012 7.036041e-012 3957.23 3806.95
4034.59	6.208660e-012 7.050992e-012 5.371858e-012 4113.45 3957.23
4187.1	6.897502e-012 7.799025e-012 6.007278e-012 4262.07 4106.82
4338.37	7.398524e-012 8.347202e-012 6.429517e-012 4408.93 4262.07
4480.63	6.471529e-012 7.479608e-012 5.477831e-012 4560.85 4408.93
4635.03	6.972151e-012 8.058239e-012 5.901565e-012 4710.41 4560.85
4787.01	6.527698e-012 7.678136e-012 5.393652e-012 4857.02 4710.41
4936.01	6.745635e-012 7.969368e-012 5.525038e-012 5008.2 4857.02
