20.367	0.111498 0.121951 0.097561
35.7798	0.222997 0.250871 0.202091
49.9083	0.15331 0.174216 0.132404
65.3211	0.369338 0.397213 0.355401
79.4495	0.219512 0.240418 0.198606
94.8624	0.358885 0.38676 0.33101
108.991	0.114983 0.132404 0.101045
124.404	0.184669 0.202091 0.163763
138.532	0.229965 0.25784 0.209059
153.945	0.0731707 0.087108 0.0557491
168.073	0.195122 0.212544 0.174216
183.486	0.10453 0.118467 0.0905923
197.615	0.275261 0.299652 0.254355
213.028	0.184669 0.209059 0.163763
227.156	0.195122 0.216028 0.174216
242.569	0.247387 0.268293 0.222997
256.697	0.135889 0.15331 0.114983
272.11	0.334495 0.358885 0.310105
286.239	0.362369 0.38676 0.334495
301.651	0.268293 0.296167 0.247387
315.78	0.268293 0.292683 0.240418
331.193	0.275261 0.296167 0.254355
345.321	0.303136 0.334495 0.28223
360.734	0.45993 0.491289 0.428571
374.862	0.425087 0.45993 0.397213
390.275	0.383275 0.407666 0.351916
404.404	0.268293 0.292683 0.247387
419.817	0.43554 0.466899 0.407666
433.945	0.334495 0.365854 0.310105
449.358	0.45993 0.491289 0.432056
463.486	0.390244 0.421603 0.358885
478.899	0.512195 0.547038 0.480836
493.028	0.324042 0.351916 0.296167
508.44	0.456446 0.491289 0.421603
522.569	0.839721 0.878049 0.790941
537.982	1 1.04878 0.954704
552.11	0.968641 1.01394 0.923345
567.523	0.609756 0.641115 0.574913
581.651	0.480836 0.512195 0.445993
597.064	0.0627178 0.0731707 0.0522648
611.193	0.114983 0.12892 0.101045
626.606	0.142857 0.163763 0.12892
640.734	0.121951 0.135889 0.108014
656.147	0.327526 0.351916 0.310105
670.275	0.233449 0.254355 0.212544
685.688	0.101045 0.114983 0.087108
699.817	0.0696864 0.0801394 0.0557491
715.229	-0.00696864 0.00348432 -0.0174216
729.358	0.205575 0.222997 0.184669
744.771	0.097561 0.108014 0.0836237
758.899	0.240418 0.261324 0.219512
774.312	0.41115 0.442509 0.379791
788.44	0.0592334 0.0801394 0.0487805
