   -0.2633E+08    0.89937737E+10
   -0.2633E+07    0.89937737E+10
   -0.2410E+07    0.89882370E+10
   -0.2207E+07    0.89822661E+10
   -0.2020E+07    0.89760366E+10
   -0.1850E+07    0.89695679E+10
   -0.1694E+07    0.89628492E+10
   -0.1551E+07    0.89559640E+10
   -0.1420E+07    0.89488457E+10
   -0.1300E+07    0.89414948E+10
   -0.1190E+07    0.89339986E+10
   -0.1089E+07    0.89262906E+10
   -0.9974E+06    0.89184244E+10
   -0.9131E+06    0.89104490E+10
   -0.8360E+06    0.89023112E+10
   -0.7654E+06    0.88939600E+10
   -0.7008E+06    0.88854281E+10
   -0.6416E+06    0.88767728E+10
   -0.5874E+06    0.88679161E+10
   -0.5378E+06    0.88588367E+10
   -0.4923E+06    0.88495092E+10
   -0.4508E+06    0.88400303E+10
   -0.4127E+06    0.88302628E+10
   -0.3778E+06    0.88203038E+10
   -0.3459E+06    0.88100028E+10
   -0.3167E+06    0.87993873E+10
   -0.2900E+06    0.87886195E+10
   -0.2655E+06    0.87774781E+10
   -0.2430E+06    0.87659214E+10
   -0.2225E+06    0.87540912E+10
   -0.2037E+06    0.87419048E+10
   -0.1865E+06    0.87293459E+10
   -0.1708E+06    0.87166454E+10
   -0.1563E+06    0.87033204E+10
   -0.1431E+06    0.86898334E+10
   -0.1310E+06    0.86760716E+10
   -0.1200E+06    0.86619794E+10
   -0.1098E+06    0.86475770E+10
   -0.1006E+06    0.86330299E+10
   -0.9207E+05    0.86183163E+10
   -0.8429E+05    0.86032333E+10
   -0.7717E+05    0.85880291E+10
   -0.7066E+05    0.85726709E+10
   -0.6469E+05    0.85570522E+10
   -0.5923E+05    0.85412672E+10
   -0.5422E+05    0.85255586E+10
   -0.4964E+05    0.85097290E+10
   -0.4545E+05    0.84939444E+10
   -0.4161E+05    0.84781167E+10
   -0.3810E+05    0.84621994E+10
   -0.3488E+05    0.84463125E+10
   -0.3193E+05    0.84303361E+10
   -0.2924E+05    0.84143374E+10
   -0.2677E+05    0.83984743E+10
   -0.2451E+05    0.83825793E+10
   -0.2244E+05    0.83666660E+10
   -0.2054E+05    0.83508318E+10
   -0.1881E+05    0.83351181E+10
   -0.1722E+05    0.83194371E+10
   -0.1576E+05    0.83037309E+10
   -0.1443E+05    0.82881533E+10
   -0.1321E+05    0.82726633E+10
   -0.1210E+05    0.82573377E+10
   -0.1108E+05    0.82420440E+10
   -0.1014E+05    0.82267378E+10
   -0.9283E+04    0.82114289E+10
   -0.8499E+04    0.81962744E+10
   -0.7782E+04    0.81812698E+10
   -0.7124E+04    0.81664037E+10
   -0.6523E+04    0.81515888E+10
   -0.5972E+04    0.81367510E+10
   -0.5467E+04    0.81221018E+10
   -0.5005E+04    0.81074781E+10
   -0.4583E+04    0.80929918E+10
   -0.4196E+04    0.80785904E+10
   -0.3841E+04    0.80642150E+10
   -0.3517E+04    0.80498933E+10
   -0.3220E+04    0.80356358E+10
   -0.2948E+04    0.80214740E+10
   -0.2699E+04    0.80073465E+10
   -0.2471E+04    0.79934144E+10
   -0.2262E+04    0.79795235E+10
   -0.2071E+04    0.79656566E+10
   -0.1896E+04    0.79518323E+10
   -0.1736E+04    0.79381290E+10
   -0.1589E+04    0.79244738E+10
   -0.1455E+04    0.79107855E+10
   -0.1332E+04    0.78971996E+10
   -0.1220E+04    0.78837753E+10
   -0.1117E+04    0.78703812E+10
   -0.1022E+04    0.78569786E+10
   -0.9360E+03    0.78435796E+10
   -0.8570E+03    0.78302320E+10
   -0.7846E+03    0.78169580E+10
   -0.7183E+03    0.78036803E+10
   -0.6577E+03    0.77904776E+10
   -0.6021E+03    0.77773498E+10
   -0.5513E+03    0.77641566E+10
   -0.5047E+03    0.77509668E+10
   -0.4621E+03    0.77378018E+10
   -0.4230E+03    0.77245831E+10
   -0.3873E+03    0.77115265E+10
   -0.3546E+03    0.76984738E+10
   -0.3247E+03    0.76854856E+10
   -0.2972E+03    0.76725330E+10
